jumlah_siswa_1_5,indeks_mapel_un_1_5,ranking_mapel_un_1_5,persentase_ranking_un_1_5,jumlah_siswa_3_5,indeks_mapel_un_3_5,ranking_mapel_un_3_5,persentase_ranking_un_3_5,lulus_tpb
136,87.4259,30,22.05882353,136,89.5,18,13.23529412,0
103,80.1346,50,48.54368932,103,80.57575758,51,49.51456311,1
106,80.9519,51,48.11320755,106,82.33333333,41,38.67924528,1
173,80.7576,101,58.38150289,155,82.11590909,83,53.5483871,1
77,83.0741,35,45.45454545,77,83.38888889,43,55.84415584,1
98,80.4206,54,55.10204082,97,80.87878788,54,55.67010309,1
54,80.2973,9,16.66666667,54,80.475,12,22.22222222,1
93,79.8654,35,37.6344086,93,81.93939394,36,38.70967742,1
93,81.5962,30,32.25806452,93,85.75757575,24,25.80645161,0
299,82.0467,181,60.53511706,299,83.42424242,167,55.85284281,1
256,88.4712,12,4.6875,256,90.18181818,13,5.078125,1
104,76.6111,55,52.88461538,104,79.72222222,43,41.34615385,1
141,80.2377,58,41.13475177,141,80.78964862,86,60.9929078,1
186,81.3333,15,8.064516129,184,83.72222222,15,8.152173913,0
299,80.7757,226,75.58528428,299,82.12121212,215,71.90635452,1
154,85.8846,50,32.46753247,152,87.57575757,49,32.23684211,1
38,81.6216,4,10.52631579,38,83.06666667,3,7.894736842,1
98,79.2991,79,80.6122449,97,80.09090909,65,67.01030928,1
154,86.8942,31,20.12987013,152,87.72727273,46,30.26315789,1
208,83.4068,74,35.57692308,207,85.83333333,92,44.44444444,0
27,84.3148,5,18.51851852,27,85.33333333,6,22.22222222,1
78,92.4906,7,8.974358974,75,93.27272727,11,14.66666667,0
78,92.8302,6,7.692307692,75,93.83333333,8,10.66666667,1
116,81.5431,17,14.65517241,116,81.42307692,21,18.10344828,1
102,84.7153,26,25.49019608,102,84.3890404,22,21.56862745,1
25,80.7568,21,84,25,80.95833333,18,72,1
31,81.0541,3,9.677419355,31,83.8,7,22.58064516,1
93,83.6346,15,16.12903226,93,85.45454546,26,27.95698925,1
263,83.6111,37,14.06844106,260,85.94444444,51,19.61538462,1
208,81.2458,166,79.80769231,207,84.37179487,144,69.56521739,1
193,78.6731,58,30.05181347,193,79.33333334,101,52.33160622,1
73,82.6034,5,6.849315068,73,83.7051282,41,56.16438356,1
208,83.4322,72,34.61538462,207,86.8076923,52,25.12077295,1
134,76.4712,54,40.29850746,134,77.97727273,46,34.32835821,0
104,84.9658,56,53.84615385,104,86.47061728,66,63.46153846,1
93,81.9286,2,2.150537634,93,84.17094017,3,3.225806452,1
269,79.8558,164,60.96654275,268,79.72727272,191,71.26865672,0
363,83.0955,299,82.36914601,363,84.12779974,284,78.2369146,1
72,79.8249,32,44.44444444,72,80.33875,42,58.33333333,1
5,87.4704,3,60,5,88.65151515,3,60,1
463,84.9615,322,69.54643629,426,86.57575758,309,72.53521127,1
117,84.4615,56,47.86324786,117,85.21212121,53,45.2991453,1
463,85.75,233,50.32397408,426,86.63636364,275,64.55399061,1
102,79.8003,73,71.56862745,102,79.10691919,67,65.68627451,1
110,81.1818,25,22.72727273,107,79.41111111,74,69.1588785,1
263,82.7222,93,35.36121673,260,85.44444445,81,31.15384615,1
160,83.1638,113,70.625,160,88.27777778,84,52.5,0
263,82.8519,81,30.79847909,260,86.33333334,38,14.61538462,0
124,81.3148,12,9.677419355,124,83.33333333,11,8.870967742,1
171,90.1667,2,1.169590643,171,91.94444444,3,1.754385965,1
243,88.1491,3,1.234567901,242,89.54166667,15,6.198347107,0
25,76.8547,15,60,25,79.96296296,10,40,1
104,81.2672,32,30.76923077,104,83.17948718,29,27.88461538,0
75,92.1286,11,14.66666667,75,94.13095238,12,16,1
14,79.8003,14,100,14,78.55555556,13,92.85714286,1
132,78.9904,85,64.39393939,132,80.60606061,80,60.60606061,1
152,82.8468,79,51.97368421,152,83.30666667,93,61.18421053,1
42,90.0556,1,2.380952381,42,92,1,2.380952381,1
98,85.1808,6,6.12244898,98,83.26666667,12,12.24489796,1
140,80.4453,46,32.85714286,140,81.81984127,44,31.42857143,1
102,81.9528,52,50.98039216,102,80.82626263,45,44.11764706,1
234,80.0385,149,63.67521368,234,82.66666667,84,35.8974359,1
64,82.1081,3,4.6875,64,82.625,1,1.5625,1
124,86.8148,4,3.225806452,124,87.88888889,7,5.64516129,0
38,84,18,47.36842105,38,87.41897436,12,31.57894737,1
160,85.4655,67,41.875,160,89.38888889,88,55,1
7,78.479,7,100,7,79.06666667,7,100,1
149,83.1656,17,11.40939597,149,84.47090909,29,19.46308725,1
154,84.8558,81,52.5974026,152,86.30303031,63,41.44736842,1
141,80.1731,13,9.219858156,141,80.36363636,23,16.31205674,1
241,78.246,174,72.19917012,241,80.33333333,111,46.05809129,1
190,78.4074,77,40.52631579,190,81.88888889,55,28.94736842,1
263,83.537,39,14.82889734,260,86.22222222,41,15.76923077,1
17,85.4444,4,23.52941176,17,86.44444445,1,5.882352941,1
102,81.1481,47,46.07843137,102,82.44444444,45,44.11764706,1
117,83.6061,71,60.68376068,190,85.83164983,68,35.78947368,1
226,87.2963,23,10.17699115,226,88.88888889,17,7.522123894,1
154,86.4423,37,24.02597403,152,87.21212121,67,44.07894737,1
76,90,9,11.84210526,76,92.08333333,12,15.78947368,0
54,79.8409,5,9.259259259,40,81.20809524,8,20,1
129,78.7778,90,69.76744186,129,80,79,61.24031008,1
38,81.7635,3,7.894736842,38,83.375,2,5.263157895,1
363,86.2803,59,16.25344353,363,87.19104084,32,8.815426997,1
227,84.7265,13,5.726872247,227,86.96058879,16,7.04845815,1
100,83.125,1,1,100,82.54545454,4,4,1
107,87.463,3,2.803738318,107,88.05555555,2,1.869158879,1
108,80.1091,25,23.14814815,108,81.91161616,37,34.25925926,1
120,77.5294,58,48.33333333,120,79.43678161,46,38.33333333,1
109,81.4377,64,58.71559633,109,82.75274484,62,56.88073394,1
67,83.5185,37,55.2238806,67,84.83333334,36,53.73134328,1
210,87.5769,143,68.0952381,210,87.54545454,140,66.66666667,1
103,78.5,16,15.53398058,103,80.11111111,17,16.50485437,1
119,80.7019,51,42.85714286,118,81.60606061,44,37.28813559,1
117,75.8672,80,68.37606838,117,77.96428571,76,64.95726496,1
148,82.6324,98,66.21621622,148,84.39490969,105,70.94594595,1
255,79.5952,73,28.62745098,252,82.5308642,41,16.26984127,1
75,81.0847,20,26.66666667,75,83.61965812,19,25.33333333,1
33,80.5676,8,24.24242424,33,81.43333333,3,9.090909091,1
176,91.5833,10,5.681818182,22,91.97777778,5,22.72727273,1
160,84.1034,93,58.125,160,89.11111111,74,46.25,0
106,77.0192,73,68.86792453,106,77.66666667,62,58.49056604,0
102,83.537,10,9.803921569,102,84.94444444,5,4.901960784,0
205,79.9808,113,55.12195122,204,81.93939394,91,44.60784314,1
121,75.7692,47,38.84297521,121,79.13636363,43,35.53719008,1
117,81.5614,54,46.15384615,117,83.33760684,59,50.42735043,1
70,82.5,4,5.714285714,70,84.55555556,6,8.571428571,1
141,77.625,90,63.82978723,141,77.93939394,110,78.0141844,1
200,80.963,122,61,199,82.88888889,94,47.2361809,1
86,86.4544,7,8.139534884,83,86.03174603,15,18.07228916,1
76,89.8649,11,14.47368421,76,91.04166667,31,40.78947368,1
85,80.3134,16,18.82352941,85,78.9620202,22,25.88235294,0
149,82.2909,88,59.06040268,149,84,79,53.02013423,0
102,80.9259,57,55.88235294,102,82.16666666,42,41.17647059,1
198,83.5769,99,50,178,87.09090909,68,38.20224719,1
55,83.2143,5,9.090909091,55,83.44444445,4,7.272727273,1
226,85.1111,123,54.42477876,226,86.66666667,54,23.89380531,1
58,85.4759,24,41.37931034,58,85.62916667,21,36.20689655,1
269,84.8173,49,18.21561338,268,86.87878788,68,25.37313433,1
31,78.2432,10,32.25806452,31,79.175,9,29.03225806,1
31,77.3243,18,58.06451613,31,78.25833333,15,48.38709677,1
201,83.969,18,8.955223881,199,85.08045977,39,19.59798995,1
211,81.2981,99,46.91943128,211,82.27272727,114,54.02843602,1
171,84.4667,61,35.67251462,171,86.22222222,44,25.73099415,1
93,79.1964,29,31.1827957,93,80.7991453,28,30.10752688,1
59,76.6757,42,71.18644068,59,77.825,37,62.71186441,1
156,86.9538,49,31.41025641,156,89.02564103,40,25.64102564,1
47,79.027,6,12.76595745,47,78.30833333,10,21.27659574,1
36,78.4595,28,77.77777778,36,76.25,17,47.22222222,0
160,87.1207,45,28.125,160,91.05555555,58,36.25,1
256,83.3846,150,58.59375,256,84.93939394,158,61.71875,0
102,81.0741,51,50,102,82.72222222,24,23.52941176,1
42,85.4741,26,61.9047619,42,82.28121212,16,38.0952381,1
156,85.2923,119,76.28205128,156,87.41025641,101,64.74358974,1
172,79.9808,111,64.53488372,172,81.78787879,90,52.3255814,1
86,77.496,44,51.1627907,86,75.53909091,53,61.62790698,1
38,79.0164,20,52.63157895,38,80.26068376,14,36.84210526,1
119,79.9765,78,65.54621849,129,79.62360447,79,61.24031008,1
153,82.2404,17,11.11111111,153,83.60606061,13,8.496732026,0
33,80.5135,9,27.27272727,33,81.33333333,11,33.33333333,0
108,81.3077,46,42.59259259,108,82.78787879,46,42.59259259,0
17,89.4432,1,5.882352941,17,89.33333333,1,5.882352941,0
230,83.4654,30,13.04347826,228,83.7808642,50,21.92982456,1
33,80.6216,6,18.18181818,33,81.675,14,42.42424242,1
222,84.5312,104,46.84684685,221,86.54545455,77,34.84162896,1
212,77.7833,134,63.20754717,212,78.55603039,149,70.28301887,1
100,80.8421,24,24,100,80.77777778,29,29,1
255,82.6508,17,6.666666667,252,84.41975308,17,6.746031746,1
119,80.1818,68,57.14285714,203,81.12121212,113,55.66502463,1
299,80.7664,228,76.2541806,299,81.54545455,223,74.5819398,1
171,83.3519,15,8.771929825,171,84.61111111,14,8.187134503,1
70,80.037,25,35.71428571,70,82.38888889,19,27.14285714,1
167,82.9038,105,62.8742515,167,84.33333333,106,63.47305389,1
55,81.0119,21,38.18181818,55,81.16666666,18,32.72727273,1
58,86.5138,12,20.68965517,58,86.46,9,15.51724138,1
200,80.9259,130,65,199,81.94444444,97,48.74371859,1
116,79.9107,59,50.86206897,116,82.44444444,53,45.68965517,1
194,83.2885,132,68.04123711,194,85.42424242,125,64.43298969,1
138,83.5625,45,32.60869565,137,84.86904762,28,20.4379562,1
153,79.5431,92,60.13071895,150,81.80769231,93,62,1
141,77.8365,81,57.44680851,141,78.51515152,75,53.19148936,1
87,79.1852,49,56.32183908,87,81.33333334,34,39.08045977,0
93,79.6429,20,21.50537634,93,81.03846154,34,36.55913978,1
58,79.8148,14,24.13793103,58,81.05555555,13,22.4137931,0
98,84.1442,43,43.87755102,97,86.45454545,30,30.92783505,1
107,83.7963,18,16.82242991,107,83.44444444,26,24.29906542,1
17,85.2788,8,47.05882353,17,86.45454546,7,41.17647059,1
194,80.3853,79,40.72164948,194,81.01606061,49,25.25773196,1
59,77.2973,27,45.76271186,59,78.03333333,29,49.15254237,1
112,82.1125,42,37.5,112,82.83333333,55,49.10714286,0
148,85.0809,45,30.40540541,148,85.98850575,54,36.48648649,1
117,85.193,12,10.25641026,117,87.97435897,13,11.11111111,1
117,82.2281,47,40.17094017,117,84.71794872,40,34.18803419,1
106,88.8519,7,6.603773585,106,92.61111111,3,2.830188679,1
26,85.958,1,3.846153846,26,84.88888889,2,7.692307692,1
211,79.5673,169,80.09478673,211,81.39393939,142,67.2985782,0
174,84.4087,107,61.49425287,174,86.09848485,60,34.48275862,1
74,81.1291,56,75.67567568,74,82.06062222,52,70.27027027,1
174,88.0577,103,59.1954023,174,92.27272727,58,33.33333333,1
96,88.2423,8,8.333333333,96,89.53333333,10,10.41666667,1
140,79.5288,54,38.57142857,140,80.15151515,100,71.42857143,1
171,82.7,104,60.81871345,171,82.83333333,135,78.94736842,0
106,82.5962,29,27.35849057,104,82.54545454,39,37.5,1
20,90.0667,3,15,20,91.38888889,3,15,1
26,85.3784,1,3.846153846,26,85.79166667,1,3.846153846,1
31,83.7568,3,9.677419355,31,82.56666667,8,25.80645161,1
80,80.4074,18,22.5,80,80.16666667,44,55,1
222,85.4038,83,37.38738739,221,86.33333333,92,41.62895928,1
143,79.9038,51,35.66433566,143,80.09090909,50,34.96503497,1
171,83.4667,75,43.85964912,171,83.27777778,117,68.42105263,1
187,79.9318,154,82.35294118,167,80.57575757,107,64.07185629,1
129,82.963,26,20.15503876,129,83,47,36.43410853,1
52,77.6667,33,63.46153846,49,78.66666667,31,63.26530612,1
102,87.7963,5,4.901960784,102,89,5,4.901960784,1
102,87.2593,9,8.823529412,102,88.27777778,10,9.803921569,1
102,87.6481,7,6.862745098,102,89.83333333,3,2.941176471,1
102,81.3519,34,33.33333333,102,82.5,38,37.25490196,1
58,85.5072,3,5.172413793,58,87.66666667,7,12.06896552,1
120,77.3193,64,53.33333333,120,79.28927203,60,50,1
190,80.8889,61,32.10526316,187,82.27777778,56,29.94652406,1
89,83.8333,7,7.865168539,89,86.44444445,15,16.85393258,1
89,84.6296,5,5.617977528,89,87.16666667,8,8.988764045,1
13,84.7067,5,38.46153846,13,85.92424242,7,53.84615385,1
93,80.8077,33,35.48387097,93,85.36363636,30,32.25806452,1
125,79.041,48,38.4,125,80.78774929,33,26.4,1
256,85.4231,59,23.046875,256,86.18181818,77,30.078125,1
156,85.2,123,78.84615385,156,87.2051282,95,60.8974359,1
153,80.9828,48,31.37254902,150,83.1025641,47,31.33333333,1
107,91.5946,5,4.672897196,107,91.08333333,31,28.97196262,1
75,81.7593,18,24,75,83.27777778,14,18.66666667,1
75,81.7778,17,22.66666667,75,82.77777778,27,36,1
75,81.0926,32,42.66666667,75,82.33333334,42,56,1
222,83.7212,117,52.7027027,221,85.03030303,116,52.48868778,0
75,83.1667,3,4,75,84.83333333,5,6.666666667,1
142,76.7545,88,61.97183099,142,76.22222222,72,50.70422535,1
153,80.1827,31,20.26143791,153,82.48484849,23,15.03267974,1
173,88.1538,29,16.76300578,172,88.68898385,27,15.69767442,1
60,71.7642,37,61.66666667,60,71.15555556,33,55,0
277,83.9808,251,90.61371841,277,86.6969697,203,73.28519856,1
54,80.1697,4,7.407407407,40,81.04571429,7,17.5,1
64,78.4054,36,56.25,64,78,35,54.6875,0
42,79.5378,10,23.80952381,42,81.98236332,10,23.80952381,1
34,84.849,12,35.29411765,34,83.57533333,13,38.23529412,1
39,89.1892,1,2.564102564,39,88.58333333,2,5.128205128,0
64,82.3513,1,1.5625,64,81.88333333,2,3.125,1
64,79.1081,22,34.375,64,78.84166667,27,42.1875,1
154,83.3365,116,75.32467532,152,84.96969697,119,78.28947368,1
89,81.5556,39,43.82022472,89,83.55555556,45,50.56179775,1
97,82.963,22,22.68041237,97,81.77777778,39,40.20618557,1
62,79.2,28,45.16129032,62,82.33333333,24,38.70967742,1
62,81.03,19,30.64516129,62,83.89,15,24.19354839,1
175,79.10576923,39,22.28571429,175,79.17,43,24.57142857,1
304,81.03738318,150,49.34210526,302,82.63666667,150,49.66887417,0
156,84.8,35,22.43589744,156,86.87666667,26,16.66666667,1
166,83.84615385,74,44.57831325,166,86.94,67,40.36144578,1
166,86.24038462,23,13.85542169,165,82.06,24,14.54545455,1
166,88.77884615,6,3.614457831,166,88.21666667,6,3.614457831,1
127,83.14876033,7,5.511811024,133,80.96,13,9.77443609,1
30,85.72033898,1,3.333333333,38,86.06666667,1,2.631578947,1
154,79.88413462,63,40.90909091,154,80.89666667,80,51.94805195,1
106,88.28846154,6,5.660377358,106,89.81666667,6,5.660377358,1
154,79.86259615,64,41.55844156,153,79.87,78,50.98039216,1
222,87.01652893,1,0.45045045,311,84.37666667,7,2.250803859,1
174,84.34,4,2.298850575,173,85.37,4,2.312138728,1
102,80.97619048,28,27.45098039,102,83.05,23,22.54901961,1
222,84.24,10,4.504504505,222,85.81333333,12,5.405405405,1
156,83.46153846,18,11.53846154,156,85.42333333,16,10.25641026,0
93,86.07377049,1,1.075268817,111,87.21666667,4,3.603603604,1
137,82.84126984,7,5.109489051,170,84.11,9,5.294117647,1
93,85.49,7,7.52688172,93,86.84666667,17,18.27956989,1
137,81.33,39,28.46715328,138,82.16666667,97,70.28985507,1
137,81.97619048,23,16.78832117,202,81.44,39,19.30693069,1
142,82.13,58,40.84507042,142,85.33333333,40,28.16901408,0
142,84.80357143,12,8.450704225,205,83.23333333,63,30.73170732,1
142,81.90178571,67,47.18309859,268,78.64,188,70.14925373,1
142,82.83035714,37,26.05633803,268,81.24,131,48.88059701,1
142,86.11,5,3.521126761,142,88.83333333,5,3.521126761,1
222,89.37234043,31,13.96396396,220,89.79666667,28,12.72727273,1
142,83,33,23.23943662,205,83.41666667,81,39.51219512,1
93,84.57,30,32.25806452,93,85.96,39,41.93548387,1
142,82.24107143,55,38.73239437,205,82.52333333,121,59.02439024,0
255,91.30708661,17,6.666666667,296,91.09,27,9.121621622,1
107,82.30769231,7,6.542056075,107,83.41666667,6,5.607476636,1
180,83.25757576,32,17.77777778,218,83.97,50,22.93577982,1
233,79.09615385,105,45.06437768,233,79.23666667,119,51.07296137,1
93,84.68,24,25.80645161,93,87.31333333,13,13.97849462,1
165,85.45432692,12,7.272727273,165,86.07,21,12.72727273,0
232,84.46,64,27.5862069,231,83.45666667,135,58.44155844,1
115,83.72727273,24,20.86956522,172,81.33333333,18,10.46511628,1
152,90.01923077,20,13.15789474,152,90.72666667,19,12.5,1
84,84.88,1,1.19047619,84,86.18333333,2,2.380952381,0
32,88.04761905,1,3.125,43,86.44333333,3,6.976744186,1
106,87.23076923,13,12.26415094,106,87.05,14,13.20754717,1
216,83.88461538,23,10.64814815,216,84.5,28,12.96296296,1
102,82.01587302,14,13.7254902,161,80.97666667,23,14.28571429,1
59,86.43478261,4,6.779661017,59,87.98,4,6.779661017,1
46,87.88888889,4,8.695652174,94,84.05666667,12,12.76595745,1
170,91,12,7.058823529,170,89.77333333,12,7.058823529,1
170,89.28846154,53,31.17647059,170,89.86666667,53,31.17647059,1
170,89.5,43,25.29411765,170,89.34666667,53,31.17647059,1
54,79.4,13,24.07407407,54,80.30666667,12,22.22222222,0
170,88.93269231,68,40,170,90.58333333,62,36.47058824,1
81,82.08653846,2,2.469135802,81,83.03666667,6,7.407407407,1
170,89.89423077,35,20.58823529,170,89.8,34,20,1
223,81.82,64,28.69955157,223,83.43,69,30.94170404,0
233,80.07692308,77,33.0472103,233,78.91,70,30.04291845,1
105,80.69230769,43,40.95238095,105,80.59333333,53,50.47619048,0
137,82.03174603,20,14.59854015,202,79.53666667,58,28.71287129,1
160,81.4453125,23,14.375,230,80.15333333,68,29.56521739,1
62,79.8907563,24,38.70967742,62,78.94666667,33,53.22580645,1
255,88.91338583,58,22.74509804,296,89.21333333,71,23.98648649,1
220,80.81,54,24.54545455,220,81.65666667,104,47.27272727,1
108,82.4057971,12,11.11111111,107,83.82333333,15,14.01869159,1
126,87,30,23.80952381,125,86.87333333,33,26.4,1
137,86.33653846,28,20.4379562,122,85.31,31,25.40983607,1
154,82.33730769,24,15.58441558,153,81.89666667,32,20.91503268,1
108,82.37681159,14,12.96296296,160,81.94666667,56,35,1
15,86.90086207,3,20,16,86.34333333,3,18.75,0
172,83.75,20,11.62790698,172,84.88,27,15.69767442,1
179,85.37,75,41.89944134,178,86.23666667,79,44.38202247,1
195,82.33333333,69,35.38461538,195,81.51333333,77,39.48717949,1
166,84.85576923,45,27.10843373,166,87.33333333,48,28.91566265,1
199,85.11,94,47.2361809,199,85.73666667,103,51.75879397,1
195,81.33333333,87,44.61538462,195,80.20333333,96,49.23076923,1
160,81.2109375,29,18.125,194,81.43666667,38,19.58762887,1
132,84.82692308,36,27.27272727,131,83.65,41,31.29770992,1
172,82.78846154,32,18.60465116,172,82.59333333,34,19.76744186,1
102,82.62698413,9,8.823529412,132,82.31,12,9.090909091,1
60,81.17715517,2,3.333333333,60,81.03,2,3.333333333,1
105,81.43,33,31.42857143,105,83.24333333,22,20.95238095,1
105,80.2,50,47.61904762,105,80.66666667,51,48.57142857,1
108,82.13768116,21,19.44444444,160,82.08666667,40,25,1
235,81.61157025,28,11.91489362,284,81.08333333,32,11.26760563,1
247,84.73728814,68,27.53036437,246,84.63,99,40.24390244,1
74,92.15307018,7,9.459459459,74,92.49,7,9.459459459,1
137,82.66666667,11,8.02919708,202,80.32666667,31,15.34653465,1
263,84.51923077,50,19.01140684,263,83.99666667,61,23.19391635,1
137,85.02380952,1,0.729927007,170,84.89333333,11,6.470588235,1
175,82.64423077,3,1.714285714,174,82.16666667,1,0.574712644,1
100,83.59259259,43,43,192,83.46,87,45.3125,1
74,84.83898305,26,35.13513514,103,84.01,43,41.74757282,1
216,82.61538462,33,15.27777778,215,84.12,35,16.27906977,1
156,83.11,27,17.30769231,156,83.85,33,21.15384615,1
235,80.97,41,17.44680851,235,81.82333333,39,16.59574468,1
97,89.15903509,6,6.18556701,97,89.50666667,5,5.154639175,1
215,83.56,87,40.46511628,214,84.69666667,92,42.99065421,1
216,84.224,22,10.18518519,228,83.91666667,28,12.28070175,1
142,81.91,66,46.47887324,142,84.94333333,53,37.32394366,1
172,84.80769231,8,4.651162791,172,85.37,9,5.23255814,1
23,86.56410256,1,4.347826087,23,86.59,1,4.347826087,1
144,85.16346154,68,47.22222222,144,86.28666667,61,42.36111111,1
223,82.2,54,24.21524664,223,84.38,57,25.56053812,1
144,86.48076923,45,31.25,144,85.92333333,46,31.94444444,1
50,81.51612903,10,20,53,79.62666667,11,20.75471698,1
219,85,68,31.05022831,219,86.69,69,31.50684932,1
219,86.21008403,32,14.61187215,211,83.56,32,15.16587678,0
219,84.44,95,43.37899543,219,86.27333333,86,39.26940639,1
219,84.78,77,35.15981735,219,88.2,58,26.48401826,0
166,86.48076923,17,10.24096386,165,82.21666667,21,12.72727273,1
219,85.12605042,63,28.76712329,219,85.30333333,74,33.78995434,1
219,86.73,25,11.41552511,219,88.63,28,12.78538813,1
219,85.03,67,30.59360731,219,86.61666667,74,33.78995434,1
219,85.09243697,65,29.6803653,219,86.48333333,79,36.07305936,1
98,82.49137931,10,10.20408163,125,80.17666667,52,41.6,1
121,81.89423077,8,6.611570248,121,81.34,5,4.132231405,1
165,85.88221154,4,2.424242424,165,83.89333333,28,16.96969697,1
46,87.74074074,5,10.86956522,46,89.83666667,12,26.08695652,1
166,83.96153846,68,40.96385542,166,86.32,67,40.36144578,1
172,85.63461538,3,1.744186047,172,86.32666667,3,1.744186047,1
172,84.4,12,6.976744186,172,86.63333333,9,5.23255814,1
148,79.15384615,63,42.56756757,147,79.93666667,69,46.93877551,1
163,83.38888889,17,10.42944785,280,81,65,23.21428571,1
163,83.68518519,12,7.36196319,220,83.18666667,54,24.54545455,1
99,83.23,33,33.33333333,99,83.94,42,42.42424242,1
113,86.96850394,8,7.079646018,113,87.55333333,11,9.734513274,1
160,82.28125,11,6.875,194,83.19,12,6.18556701,1
222,85.97340426,97,43.69369369,222,85.29333333,134,60.36036036,1
161,82.0411215,28,17.39130435,159,80.10333333,32,20.12578616,1
235,79.89256198,87,37.0212766,235,80.64333333,80,34.04255319,1
255,89.21259843,52,20.39215686,336,88.21666667,45,13.39285714,1
233,79.96153846,81,34.7639485,233,79.74333333,112,48.06866953,1
187,85.59677419,21,11.22994652,237,84.14,29,12.23628692,1
220,84.36057692,22,10,220,83.06333333,24,10.90909091,1
233,87.98,15,6.43776824,233,88.28666667,14,6.008583691,1
142,84.1,16,11.26760563,142,86.66333333,15,10.56338028,1
117,84.42592593,5,4.273504274,158,84.61333333,13,8.227848101,1
115,83.34848485,27,23.47826087,172,80.24333333,31,18.02325581,0
137,82.29365079,14,10.2189781,170,81.71666667,25,14.70588235,0
251,89.19,24,9.561752988,251,90.87333333,27,10.75697211,1
91,80.76724138,6,6.593406593,91,81.86333333,5,5.494505495,1
166,86.04807692,27,16.26506024,166,86.07,27,16.26506024,1
157,82.975,14,8.917197452,202,84.24333333,13,6.435643564,1
223,82.17,55,24.66367713,223,83.94,64,28.69955157,1
219,85.70588235,44,20.0913242,211,84.07333333,75,35.5450237,1
219,85.6302521,47,21.46118721,212,83.82,42,19.81132075,1
219,84.60504202,83,37.89954338,219,86.34333333,84,38.35616438,1
157,84.71666667,2,1.27388535,202,84.34666667,3,1.485148515,0
160,83.375,3,1.875,230,81.43666667,14,6.086956522,1
219,86.1092437,36,16.43835616,211,84.91666667,49,23.22274882,1
121,79.52884615,22,18.18181818,121,81.33666667,19,15.70247934,1
166,84.21153846,62,37.34939759,166,83.58,59,35.54216867,0
108,81.69565217,33,30.55555556,162,81.91333333,65,40.12345679,1
97,84.9222807,32,32.98969072,97,86.67,28,28.86597938,1
82,84.2972973,6,7.317073171,80,86.22333333,6,7.5,1
219,85.45,52,23.74429224,219,86.61666667,74,33.78995434,0
239,84.89,32,13.38912134,239,87.51666667,21,8.786610879,0
